project,event,sample,date,start_latitude,start_longitude,end_latitude,end_longitude,hz,percent_power,voltage,amps,effort_sec,release_latitude,release_longitude,comments
LEM_IS17_RBC,1,18,25/07/2017,42.27501,-81.93982,42.27071,-81.93874,60,100,500,12,2161,,,1 goldfish - not measured
LEM_IS17_RBC,1,33,26/07/2017,42.33272,-81.85006,42.32873,-81.8463,120/60,100,500,12,1300,,,2 passes - one along the shore and one ~200m offshore
LEM_IS17_RBC,1,34,26/07/2017,42.32873,-81.8463,42.32477,-81.84802,120/60,100,500,12,2000,,,
LEM_IS17_RBC,1,35,26/07/2017,42.32471,-81.84802,42.31259,-81.85302,120/60,70,500,14,1683,,,
LEM_IS17_RBC,1,36,26/07/2017,42.31259,-81.85302,42.29696,-81.86485,120/60,100,500,12,2112,,,
LEM_IS17_RBC,1,37,26/07/2017,42.27842,-81.88204,42.26341,-81.91446,120/60,100,500,12,773,,,
LEM_IS17_RBC,1,38,26/07/2017,42.26409,-81.93509,42.27041,-81.93862,120/60,100,500,10,946,,,2 goldfish - not measured
LEM_IS17_RBC,2,39,07/09/2017,42.33234,-81.85047,42.33571,-81.84735,60,80,500,12.5,4183,,,
LEM_IS17_RBC,2,40,07/09/2017,42.33299,-81.8528,42.33461,-81.85578,60,80,500,10.5,885,,,
LEM_IS17_RBC,2,41,07/09/2017,42.33167,-81.85714,42.3311,-81.85891,60,100,500,12,1433,,,
LEM_IS17_RBC,2,42,07/09/2017,42.33068,-81.85972,42.33006,-81.86128,60,100,500,12,474,,,
LEM_IS17_RBC,2,43,07/09/2017,42.32888,-81.86299,42.32987,-81.86454,60,100,500,10.5,1434,,,
LEM_IS17_RBC,2,44,07/09/2017,42.32675,-81.87071,42.32451,-81.87322,60,100,500,10,1480,,,
LEM_IS17_RBC,2,45,07/09/2017,42.32231,-81.87925,42.32174,-81.88006,60,100,500,10,1964,,,
LEM_IS17_RBC,2,46,08/09/2017,42.32,-81.88104,42.32094,-81.88237,60,100,500,12.5,514,,,
LEM_IS17_RBC,2,47,08/09/2017,42.3167,-81.88814,42.31295,-81.8964,60,100,500,10.5,953,,,
LEM_IS17_RBC,2,48,08/09/2017,42.31295,-81.8964,42.31126,-81.90001,60,100,500,9,2192,,,6-12 spotted gar
LEM_IS17_RBC,2,49,08/09/2017,42.30802,-81.90321,42.30512,-81.90447,60,80,500,12.5,1546,,,Most carp caught near end coordinates
LEM_IS17_RBC,2,50,08/09/2017,42.30512,-81.90447,42.30602,-81.90647,60,100,500,10.5,1827,,,
LEM_IS17_RBC,2,51,08/09/2017,42.31783,-81.88676,42.32009,-81.88458,60,100,500,11.5,1246,,,
LEM_IS17_RBC,2,52,08/09/2017,42.30288,-81.90861,42.3036,-81.90955,60,100,500,11.5,1087,,,
LEM_IS17_RBC,2,53,08/09/2017,42.30269,-81.90921,42.30149,-81.91192,60,100,500,11,1830,,,
LEM_IS17_RBC,2,54,08/09/2017,42.30105,-81.91269,42.30059,-81.91498,60,100,500,11.5,329,,,
LEM_IS17_RBC,2,55,08/09/2017,42.29802,-81.91772,42.29491,-81.92006,60,100,500,10,721,,,
LEM_IS17_RBC,2,56,08/09/2017,42.28747,-81.93008,42.28747,-81.93008,60,30-60,500,12,2982,,,Start and end coordinates at the beginning of the canal. Max length at bridge mid-way down canal.
LEM_IS17_RBC,3,57,10/10/2017,42.33261,-81.85045,42.33261,-81.85045,60,75,500,15,2424,,,Start and end coordinates at the beginning of the canal. Shocked all accessable areas of the canal. Rainbow trout and multiple warmouth found in canal.
LEM_IS17_RBC,3,58,10/10/2017,42.33305,-81.8525,42.33205,-81.85473,60,90,500,14.5,360,,,
LEM_IS17_RBC,3,59,10/10/2017,42.33205,-81.85473,42.33091,-81.85944,60,90,500,13,560,,,Spotted a soft shelled turtle - ~3.5 inch diameter carapace
LEM_IS17_RBC,3,60,10/10/2017,42.33041,-81.85955,42.32851,-81.86339,60,95,500,12,1153,,,Observed a warmouth
LEM_IS17_RBC,3,61,10/10/2017,42.3267,-81.87068,42.32665,-81.87196,60,100,500,12,780,,,Observed a warmouth
LEM_IS17_RBC,3,62,10/10/2017,42.32656,-81.8719,42.32356,-81.87515,60,100,500,12,600,,,
LEM_IS17_RBC,3,63,10/10/2017,42.32303,-81.87625,42.32048,-81.88138,60,100,500,12,900,,,
LEM_IS17_RBC,3,64,10/10/2017,42.32048,-81.88138,42.32002,-81.88151,60,100,500,12,350,,,
LEM_IS17_RBC,3,65,10/10/2017,42.31991,-81.88345,42.31892,-81.88663,60,100,500,12,450,,,
LEM_IS17_RBC,3,66,10/10/2017,42.31197,-81.89741,42.30902,-81.89885,60,100,500,11,1130,,,
LEM_IS17_RBC,3,67,10/10/2017,42.30902,-81.89885,42.30555,-81.90337,60,100,500,11,2055,,,
LEM_IS17_RBC,3,68,10/10/2017,42.30494,-81.90402,42.30494,-81.9044,60,100,500,12,672,,,Start and end coordinates at the beginning of the canal.
LEM_IS17_RBC,3,69,12/10/2017,42.29428,-81.92096,42.29263,-81.92867,60,60,500,12,953,,,
LEM_IS17_RBC,3,70,12/10/2017,42.29263,-81.92867,42.29508,-81.93384,60,40,500,14,901,,,
LEM_IS17_RBC,3,71,12/10/2017,42.29508,-81.93384,42.2883,-81.93019,60,100,500,12,1146,,,
LEM_IS17_RBC,3,72,12/10/2017,42.2879,-81.93002,42.2879,-81.93002,60,60,500,12,853,,,Start and end coordinates at the beginning of the canal.
LEM_IS17_RBC,3,73,12/10/2017,42.28672,-81.93125,42.28238,-81.9314,60,100,500,12,598,,,Tried shocking in deeper water. Carp have changed distribution since shocking event 2.
LEM_IS17_RBC,3,74,12/10/2017,42.2759,-81.93659,42.28119,-81.9474,60,80,500,12,5184,,,Captured a musk turtle (stinkpot) while netting carp at the bottom end of the canal.
LEM_IS17_RBC,3,75,12/10/2017,42.26121,-81.90701,42.26021,-81.90744,60,100,500,10,1299,,,Shocked both sides of the break wall in channel. There was reduced visiblility due to excessive sedimentation from rain the previous night and heavy winds. Carp were turning and rising to the surface slowly and we had to continuously turn the boat around
LEM_IS17_RBC,3,76,13/10/2017,42.26743,-81.93654,42.26363,-81.93424,60,80,500,12,617,,,
LEM_IS17_RBC,3,77,13/10/2017,42.26101,-81.90106,42.26057,-81.89583,60,100,500,9,470,,,
LEM_IS17_RBC,3,78,13/10/2017,42.25901,-81.88508,42.25758,-81.88105,60,100,500,11,632,,,
LEM_IS17_RBC,3,79,13/10/2017,42.33177,-81.84947,42.32993,-81.84675,60,100,500,11,2845,,,2 goldfish - not measured
LEM_IS17_RBC,3,80,13/10/2017,42.32774,-81.84703,42.32553,-81.84774,60,100,500,11,3420,,,
LEM_IS17_RBC,3,81,13/10/2017,42.32231,-81.8503,42.32051,-81.85181,60,100,500,11,434,,,
LEM_IS17_RBC,3,82,13/10/2017,42.32164,-81.87909,42.32232,-81.8799,60,100,500,11,586,,,
